qid,llm_judge_label,gold_doc_id,gold_title,multi_gold_label,llm_judge_rationale,multi_gold_note,question
10,FULL,NPAP12562650,"Keynote speech 6: Big Data, IoT and the 2nd sustainable development goal",NO,"SDG2 enabling framework, stakeholder 연결, 데이터 자유 교환, near real-time analytics, IoT/Big Data 역할이 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.","How would you summarize the proposed enabling framework for achieving the second Sustainable Development Goal, emphasizing the role of data sharing and near real-time analytics?"
11,FULL,NART120884192,Artificial intelligence and Big Data in neurology,NO,"신경학 의료영상에서 AI/Big Data의 발전, RWD, 대용량 분석, 데이터 품질과 윤리 과제가 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",Can you outline the main advances and challenges in applying artificial intelligence and Big Data to medical imaging in neurology?
12,FULL,NART103720250,"Big Data, Big Waste? A Reflection on the Environmental Sustainability of Big Data Initiatives",NO,"Big Data의 물질성, 환경영향, 윤리적 함의, 거버넌스 용어/정책 긴장/공정 분배 논점이 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",What is the primary argument regarding the environmental impact of Big Data initiatives and the ethical considerations tied to data’s material presence?
13,FULL,NART72452534,"Big Data, Big Knowledge: Big Data for Personalized Healthcare",NO,"현상론적 big data 분석과 VPH/기계론적 모델 결합, 맞춤의료 요구사항이 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",How does the content describe the combination of phenomenological and mechanistic approaches through Big Data analytics to support personalized healthcare?
14,FULL,NART76320729,Demystifying big data: Anatomy of big data developmental process,NO,"사회기술 평가, Big Data 발전 과정, 사용자 채택 요인, 사용자 중심 설계 결론이 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",What are the key findings of the socio-technical evaluation on Big Data developmental processes and the factors influencing user adoption?
15,PARTIAL,DIKO0015305653,Big data를 이용한 Warehouse Management System 모델 연구 : SAP S/4 Hana를 중심으로,NO,"Big Data 기반 WMS 방향성은 제시되지만, 질문이 요구하는 핵심 개념과 모델 세부 구조는 초록만으로 부족하다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",Big Data를 이용한 Warehouse Management System 모델에서 제시된 핵심 개념과 방향을 요약해 주시겠습니까?
16,FULL,DIKO0013973515,DTG 실 주행데이터 및 공간정보를 이용한 빅데이터 기반 연료소모량 추정 모델 연구,NO,"DTG/GPS, 공간 빅데이터 맵매칭, 운행 패턴, 도로정보 입력변수, MapReduce 처리, 검증 성능이 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",DTG 실 주행데이터와 공간정보를 활용한 연료소모량 추정 모델 SBiFEM의 핵심 구성 요소를 요약해 주세요.
17,PARTIAL,JAKO201424750260451,빅데이터 처리 프로세스에 따른 빅데이터 위험요인 분석,NO,"처리 단계별 분류와 전문가 우선순위 조사 방식은 제시되지만, 실제 위험요인별 우선순위 결과는 초록에 없다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",빅데이터 처리 과정별 위험요인 유형과 우선순위를 간략하게 요약해 주시겠습니까?
18,FULL,JAKO201708260283459,패키징(Packaging) 분야에서의 빅데이터(Big data) 적용방안 연구,NO,"패키징 분야 빅데이터 적용, 데이터 수집/저장/분석, 텍스트마이닝/오피니언마이닝/SNA를 통한 소비자 인식 분석 방안이 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",패키징 분야에서의 빅데이터 분석 기법과 소비자 인식 분석 방안을 요약해 주세요.
19,PARTIAL,DIKO0015505861,Big Data 활용을 위한 제조 품질 개선 방법에 대한 연구,NO,식스시그마 실행 방법을 기준으로 Big Data 활용 방법을 제안한다는 방향은 있으나 주요 절차 자체는 초록에 충분히 설명되지 않는다.,"gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",제조 품질 개선을 위해 제안된 식스 시그마 기반 Big Data 활용 방법의 주요 절차를 요약해 주시겠습니까?
20,FULL,NPAP12546494,Deep learning for radar,NO,"레이더 영상에서 딥러닝 역할, SAR 모델 기반 네트워크, 비선형 forward model, phase error/autofocus 문제가 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",Could you summarize how deep learning techniques are envisioned to enhance radar imaging and the main challenges and proposed network architecture discussed?
21,FULL,ART002574280,A Comparison of Deep Reinforcement Learning and Deep learning for Complex Image Analysis,DUPLICATE_RECORD,"복잡 영상분석에서 DL/DRL 비교, CNN 장점과 한계, MIL의 맥락 손실, DRL의 제한 데이터 학습 장점이 직접 제시된다.",동일 제목의 중복 ScienceON 레코드가 있어 같은 논문을 가리키는 대체 record가 존재한다.,"Can you provide a concise overview of the comparison between deep learning and deep reinforcement learning for complex image analysis, highlighting their strengths and weaknesses?"
22,FULL,ART002424231,Diabetes detection using deep learning algorithms,NO,"HRV 기반 비침습 당뇨 탐지, LSTM/CNN/CNN-LSTM+SVM 방법, 성능 향상 및 95.7% 정확도가 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.","Could you briefly summarize the methodology and results of using CNN, LSTM, and SVM combinations for noninvasive diabetes detection based on HRV signals?"
23,FULL,ART002787934,Effective Electricity Demand Prediction via Deep Learning,NO,"eMLP, ARIMA, CNN-LSTM 비교와 MSE/MAPE 평가, CNN-LSTM 우수 결과가 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",Can you outline the key deep learning and machine learning models evaluated for electricity demand prediction and their comparative performance in terms of MSE and MAPE?
24,FULL,JAKO201909055503919,Deep Learning Research Trend Analysis using Text Mining,DUPLICATE_RECORD,"10년간 딥러닝 문헌 수집, LDA 토픽모델링, 국가별 차이 분석, 연구 방향 시사점이 직접 제시된다.",동일 제목의 중복 ScienceON 레코드가 있어 같은 논문을 가리키는 대체 record가 존재한다.,"Can you summarize the main findings from the topic modeling analysis of deep learning research trends over the past ten years, including country-specific differences?"
25,PARTIAL,DIKO0014373092,Deep Learning 프레임워크 성능 비교 연구 : Cloud Computing 환경에서,NO,클라우드/OpenStack 환경에서 프레임워크 성능을 비교한다는 목적은 명확하지만 실제 비교 결과와 의의는 초록에 없다.,"gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",클라우드 컴퓨팅 환경에서 오픈소스 기반 딥 러닝 프레임워크들 간의 성능 비교 결과와 그 의의를 간결하게 정리해 주실 수 있나요?
26,PARTIAL,DIKO0013710110,딥 러닝을 이용한 DC 모터 제어,NO,"DBN 기반 PID 모방 제어기 설계와 시뮬레이션 비교는 제시되지만, 구체적인 성능 비교 결과는 초록에 없다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",DC 모터 제어 시스템에 딥 러닝 기반 제어기를 적용한 방법과 PID 제어기와의 성능 비교 결과를 요약해 주실 수 있나요?
27,FULL,DIKO0014169472,딥러닝 알고리즘에 기반한 기업부도 예측,NO,"DBN과 SVM 비교, 국내 기업 데이터, DBN 우수성, 부도기업 민감도 5% 이상 향상이 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.","DBN 기반 딥 러닝을 이용한 기업부도 예측과 기존 SVM 방법 간의 성능 차이, 특히 부도기업 예측 민감도 향상 결과를 간단히 정리해 주실 수 있나요?"
28,FULL,DIKO0014861002,딥 러닝기반 고객평점 예측모델,NO,"리뷰 텍스트에서 특징 추출, ReLU/Dropout 모델, 좋음/보통/나쁨 3분류, 90% 정확도가 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",비정형 리뷰 데이터를 활용해 고객 평점을 예측하기 위해 설계된 딥 러닝 모델 구조와 주요 실험 결과(정확도·출력 카테고리)를 요약해 주실 수 있나요?
29,FULL,DIKO0014545149,바둑에 적용된 깊은 학습: 응용 및 실험에 대한 조사,NO,"Go-game 적용, 3개 CNN 레이어/5개 hidden layer, HuuDucGo/Orego/Fuego 비교와 결과 수용 가능성이 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.","Go 게임에 적용된 심층 학습 기술의 핵심 아이디어와 제안된 CNN 레이어 구성, 실험 비교 결과를 간결하게 정리해 주실 수 있나요?"
30,FULL,JAKO201208438434742,The Trends of IT Convergence in Korea,NO,"한국 IT융합 전략 환경, 정부 노력, LG/Samsung/POSCO 사례, 주요 개념과 동향 요약이 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",How would you concisely summarize the strategic landscape and major industry examples that characterize IT convergence developments in Korea?
31,FULL,NPAP12915394,u-IT Convergence 기기의 성능평가기준과 표준화 연구,NO,"u-IT convergence 정의, 센서/기기 평가 기준, 기술성/경제성/경영성, 표준화 기준이 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",Can you provide a brief synthesis of the performance evaluation criteria and standardization framework proposed for u-IT convergence devices?
32,FULL,JAKO201615139872516,IT/OT Convergence 기반의 Advanced Distribution Management System의 설계,DUPLICATE_RECORD,"ADMS 개념, IT/OT convergence, 시스템 구성과 기능 설계가 직접 제시된다.",동일 제목의 중복 ScienceON 레코드가 있어 같은 논문을 가리키는 대체 record가 존재한다.,How would you distill the key design elements and convergence concepts of an IT/OT-based advanced distribution management system?
33,FULL,JAKO201415642602449,IT기업 관점에서의 국방IT융합 추진방향,NO,"국방 IT융합에서 IT기업 역할, control tower, SW 비용 산정 이슈가 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",Could you outline the principal concerns IT companies face in defense-related IT convergence and the proposed solutions for cost estimation and governance?
34,PARTIAL,NPAP12636907,IT 기반의 convergence 제품의 구입태도에 대한 연구,NO,"구매태도와 효용성, 경쟁력 시사점은 제시되지만 소비자 구매태도를 구성하는 구체 요인들은 초록에 충분히 없다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",How can you succinctly capture the factors that shape consumer purchase attitudes toward IT-based convergence products and their implications for competitiveness?
35,PARTIAL,JAKO201222653561945,한국 IT융합 신산업 역량강화요인,NO,델파이 결과로 역량강화요인을 도출했다는 연구 설계는 있으나 실제 요인 목록은 초록에 없다.,"gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",한국 IT융합 신산업 역량강화요인과 이를 도출하기 위한 연구 결과를 간결하게 요약해 주시겠습니까?
36,FULL,JAKO201266833852356,Technological Convergence of IT and BT: Evidence from Patent Analysis,DUPLICATE_RECORD,"IT-BT 융합, 특허 인용/공분류 분석, 융합 강도와 범위, 포트폴리오 매트릭스가 직접 제시된다.",동일/근접 제목의 특허분석 논문 record가 있어 같은 연구의 대체 record 가능성이 있다.,IT와 BT 융합 기술의 특성과 특허 분석 결과를 바탕으로 융합 강도와 협력 네트워크를 요약해 주세요.
37,FULL,JAKO201206735658103,그린산업 육성을 위한 농업분야 IT융합기술,POSSIBLE_SECONDARY,"스마트팜, 저탄소 녹색산업 정책, IT융합기술 적용과 효과/개선방안 검토가 직접 제시된다.","스마트팜 시스템 논문도 일부 답변 가능하지만, 현재 gold가 질문의 농업 IT융합기술 적용과 효과를 더 직접 포괄한다.",스마트 농업 분야에서 저탄소 녹색산업 정책을 지원하는 IT 융합 기술 적용 사례와 효과를 요약해 주시겠습니까?
38,FULL,JAKO201525249375504,국방 IT융합 비즈니스 모델 사례와 성과 분석,NO,국방 IT융합 비즈니스 모델 4유형과 프레임워크/프로세스 분석이 직접 제시된다.,"gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",국방 IT융합 비즈니스 모델 유형과 핵심 프로세스를 간략히 정리해 주세요.
39,FULL,ART001468056,AHP를 이용한 에너지-IT 융합기술 도출에 관한 연구,DUPLICATE_RECORD,AHP로 EIT 융합기술을 도출하고 green building 및 건물 내 에너지소비기기 우선 결과가 직접 제시된다.,동일 제목의 ScienceON record가 추가로 있어 같은 논문을 가리키는 대체 record가 존재한다.,AHP 방법론을 이용한 에너지-IT 융합기술 도출 과정과 연구 성과를 압축적으로 알려주실 수 있나요?
40,FULL,NART138954953,Enhancing CYP450-Ligand Binding Predictions: A Comparative Analysis of Ligand-Based and Hybrid Machine Learning Models,NO,"CYP450 ligand binding 예측, ligand-based/hybrid ML 모델 비교, molecular docking 및 벤치마크 성능이 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",How would you concisely summarize the key findings on using machine learning classifiers combined with molecular docking to predict cytochrome P450 ligand interactions?
41,FULL,NPAP11397415,Machine learning on Big Data,NO,"large-scale ML의 상업/과학적 전환, database와 ML 커뮤니티 교차, 시스템 지원과 open research question이 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",Could you outline the main points about the role of large-scale machine learning in bridging database systems and commercial applications?
42,FULL,DIKO0008088315,공간과 시간적 적응을 통한 스케줄링 지식의 기계학습에 관한 연구,NO,"공간/시간 적응 개념, 다구치 방법과 공진화 유전 알고리듬, 적용 시스템과 수행도 결과가 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",What are the core contributions of spatial and temporal adaptation techniques in machine learning–based scheduling knowledge acquisition?
43,FULL,NPAP12842380,Aligning Audiovisual Features for Audiovisual Speech Recognition,NO,"시청각 feature fusion, alignment neural network/RNN attention, GMM-HMM 및 DNN-HMM backend 성능 향상이 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",How does the audiovisual speech recognition approach integrate hidden Markov models and neural networks to achieve robustness in noisy environments?
44,FULL,ART002777203,Machine Learning and Deep Learning for the Pharmacogenomics of Antidepressant Treatments,NO,"항우울제 pharmacogenomics에 ML/DL, neuroimaging, multi-omics, 치료반응 예측과 biomarker 탐색이 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",What is the essence of applying various machine and deep learning approaches to pharmacogenomics research for antidepressant treatment prediction?
45,FULL,DIKO0012481742,Molecular modeling studies for the discovery of potent A₃ ar and TRPV1 modulators and in silico prediction of CYP inhibition and BBB permeability,NO,"A3 AR 조절자 발굴, Laplacian-modified naive Bayes/recursive partitioning/SVM, docking, 주요 성과가 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.","Laplacian 변형 나이브 베이즈, 의사결정나무, 서포트 벡터 머신을 활용한 A₃ 아데노신 수용체 조절제 연구의 핵심 성과를 간결하게 정리해 주실 수 있나요?"
46,FULL,DIKO0008088315,공간과 시간적 적응을 통한 스케줄링 지식의 기계학습에 관한 연구,NO,"공간/시간 적응 개념과 두 지식획득 방법, 반도체/연료전송장치 적용, 성능 개선과 한계가 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",지식 기반 스케줄링에서 공간적·시간적 적응을 구현하는 기계학습 방법들의 주요 특징을 요약해 주실 수 있나요?
47,FULL,NPAP12842380,Aligning Audiovisual Features for Audiovisual Speech Recognition,NO,"잡음 환경 AV-ASR, acoustic/visual fusion, AliNN/RNN attention, GMM-HMM/DNN-HMM backend 성능 향상이 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",잡음 환경에서 시청각 음성인식의 인식률을 높이기 위해 은닉 마르코프 모델과 신경망 통합 전략이 어떻게 구성되었는지 간략히 설명해 주실 수 있나요?
48,FULL,JAKO201608450941626,PSO 알고리즘을 이용한 퍼지 Extreme Learning Machine 최적화,NO,PSO로 fuzzy ELM 활성화 함수 파라미터를 최적화하고 FCM activation level function을 쓰는 원리가 직접 제시된다.,"gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",Particle Swarm Optimization을 이용해 퍼지 Extreme Learning Machine의 활성화 함수 파라미터를 최적화하는 기법의 핵심 원리를 요약해 주실 수 있나요?
49,FULL,JAKO201909358629507,Lifelong Machine Learning 기반 스팸 메시지 필터링 방법,NO,"스팸 패턴 변화 문제, LL/LLML 개념, Naive Bayes와 ELLA 앙상블 적용 아이디어가 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",Lifelong Machine Learning 앙상블 방식으로 스팸 메시지 필터링 성능을 개선한 방법의 주요 아이디어와 장점을 간결하게 제시해 주실 수 있나요?
