question,context,long_answer,final_decision,pubid
Is the fatty acid transporter FAT/CD36 upregulated in subcutaneous and visceral adipose tissues in human obesity and type 2 diabetes?,"Long-chain fatty acids (LCFAs) cross the plasma membrane via a protein-mediated mechanism involving one or more LCFA-binding proteins. Among these, FAT/CD36 has been identified as key LCFA transporter in the heart and skeletal muscle, where it is regulated acutely and chronically by insulin. In skeletal muscle, FAT/CD36 expression and/or subcellular distribution is altered in obesity and type 2 diabetes. There is limited information as to whether the expression of this protein is also altered in subcutaneous and/or visceral adipose tissue depots in human obesity or type 2 diabetes. To compare (a) the expression of FAT/CD36 in subcutaneous and visceral adipose tissue depots in lean, overweight, and obese individuals and in type 2 diabetics, (b) to determine whether the protein expression of FAT/CD36 in these depots is associated with the severity of insulin resistance (type 2 diabetes>obese>overweight/lean) and (c) whether FAT/CD36 protein expression in these adipose tissue depots is associated with alterations in circulating substrates and hormones. Subjects who were undergoing abdominal surgery and who were lean (n=10; three men, seven women), overweight (n=10; three men, seven women) or obese (n=7; one man, six women), or who had been diagnosed with type 2 diabetes (n=5; one man, four women) participated in this study. Subcutaneous and visceral adipose tissue samples, as well as blood samples, were obtained from the subjects while under general anesthesia. Adipose tissue samples were analyzed for FAT/CD36 using Western blotting. Serum samples were analyzed for glucose, insulin, FFA and leptin. BMI was also calculated. Subcutaneous adipose tissue FAT/CD36 expression was upregulated by +58, +76 and +150% in overweight, obese and type 2 diabetics, respectively. Relative to subcutaneous adipose tissue, visceral adipose tissue FAT/CD36 expression was upregulated in lean (+52%) and overweight subjects (+30%). In contrast, in obese subjects and type 2 diabetics, no difference in FAT/CD36 protein expression was observed between their subcutaneous and visceral adipose tissue depots (P>0.05). The subcutaneous adipose tissue FAT/CD36 expression (R=0.85) and the visceral adipose tissue FAT/CD36 expression (R=0.77) were associated with alteration in BMI and circulating glucose and insulin.","Subcutaneous adipose tissue FAT/CD36 expression is upregulated in obesity and type 2 diabetes. As FAT/CD36 expression is not different in lean, overweight and obese subjects, and was only increased in type 2 diabetics, it appears that visceral adipose tissue FAT/CD36 may respond in a less dynamic manner to metabolic disturbances than subcutaneous adipose tissue FAT/CD36.",yes,16418758
Do plasma brain natriuretic peptide concentrations predict survival after acute myocardial infarction?,"This study sought to examine whether plasma brain natriuretic peptide levels can predict prognosis after myocardial infarction. It has been suggested that concentrations of plasma brain natriuretic peptide reflect left ventricular function. Although the prognosis after myocardial infarction depends on residual left ventricular function, it is not known whether plasma levels of brain natriuretic peptide after the onset of myocardial infarction can be used to predict long-term outcome. Plasma brain natriuretic peptide and atrial natriuretic peptide levels as well as invasive hemodynamic variables were measured in 70 patients with acute myocardial infarction (53 men, 17 women; mean age 65 years). Measurements were obtained on admission (mean 6 h after onset) and on day 2 after onset. Mean follow-up period was 18 months. Plasma brain natriuretic peptide levels measured on admission and day 2 correlated significantly with hemodynamic variables, which are influenced by left ventricular function. However, plasma atrial natriuretic peptide levels correlated with none of the hemodynamic variables measured on admission; and of those measured on day 2, plasma atrial natriuretic peptide levels correlated only with left atrial filling pressure. During the follow-up period (mean 18 +/- 7 months), 11 patients died of cardiac causes. By Kaplan-Meier analysis, it was found that patients with plasma brain natriuretic peptide levels higher than the median level, both on admission and on day 2, had significantly higher mortality rates than those with the submedian level (on admission, p < 0.01; on day 2, p < 0.05). However, only the plasma atrial natriuretic peptide level obtained immediately after admission was significantly related to survival (p < 0.01). By Cox proportional hazards model analysis of the noninvasive variables, it was found that plasma brain natriuretic peptide concentration was more closely related to survival after myocardial infarction (p = 0.0001).","Increased plasma brain natriuretic peptide concentrations in the early or subacute phase of myocardial infarction are a powerful noninvasive indicator of poor prognosis, possibly reflecting residual left ventricular function after myocardial infarction.",yes,8636550
Is multimodal endovascular management of acute ischemic stroke in patients over 75 years old safe and effective?,"Greater attention has been directed to endovascular recanalization of acute ischemic stroke in septuagenarians and above. A retrospective chart review was conducted to include patients treated for acute ischemic stroke from 2006 to 2012. All patients underwent initial neurological assessment and non-contrast head CT. Patients treated from 2009 to 2012 additionally received emergent CT angiogram and CT perfusion. 51 patients met the clinical and radiographic criteria and underwent multimodal endovascular revascularization for acute ischemic events. All patients underwent cerebral angiography and met angiographic criteria for endovascular thrombolysis. 34 patients (67%) were older than 80 years of age. 23 patients (45%) received intravenous tissue plasminogen activator prior to admission. Eight (16%) patients underwent stent placement after intra-arterial thrombolysis, 10 (20%) underwent balloon angioplasty and seven (14%) underwent both angioplasty and stent placement. 21 (41%) required only intra-arterial thrombolytics. An improvement in Thrombolysis in Myocardial Infarction score was noted in 34 patients (67%). The average modified Rankin Scale score on discharge was 3.9. Symptomatic intracranial hemorrhage occurred in three patients (6%); none required surgery. One patient (1.9%) had a postoperative retroperitoneal hematoma, which was managed conservatively. Two fatalities resulted from intraoperative vessel rupture (3.9%), with a combined morbidity and mortality of 27.5%.",Multimodal endovascular recanalization of acute ischemic stroke is a relatively safe treatment option in patients older than 75 years of age. Careful patient selection by clinical and radiographic inclusion criteria is necessary for the successful management of stroke in this age group.,yes,22791182
Is exercise associated with a reduced incidence of sleep-disordered breathing?,"The effect of exercise on sleep-disordered breathing is unknown. While diet and weight loss have been shown to reduce the severity of sleep-disordered breathing, it is unclear whether exercise has an independent effect. A population-based longitudinal epidemiologic study of adults measured the association between exercise and incidence and severity of sleep-disordered breathing. Hours of weekly exercise were assessed by 2 mailed surveys (1988 and 2000). Sleep-disordered breathing was assessed by 18-channel in-laboratory polysomnography at baseline and at follow-up. Associations were modeled using linear and logistic regression, adjusting for body mass index, age, sex, and other covariates. Hours of exercise were associated with reduced incidence of mild (odds ratio 0.76, P=.011) and moderate (odds ratio 0.67, P=.002) sleep-disordered breathing. A decrease in exercise duration also was associated with worsening sleep-disordered breathing, as measured by the apnea-hypopnea index (β=2.368, P=.048). Adjustment for body mass index attenuated these effects.","Exercise is associated with a reduced incidence of mild and moderate sleep-disordered breathing, and decreasing exercise is associated with worsening of sleep-disordered breathing. The effect of exercise on sleep-disordered breathing appears to be largely, but perhaps not entirely, mediated by changes in body habitus.",yes,22482846
"Is pentostatin , cyclophosphamide , and rituximab an active , well-tolerated regimen for patients with previously treated chronic lymphocytic leukemia?","Purine analogs and alkylators are important agents for treating chronic lymphocytic leukemia (CLL). Early studies combining fludarabine and chlorambucil were abandoned owing to increased toxicity from overlapping myelosuppression and immunosuppression. Of the purine analogs active in CLL, pentostatin appears to be the least myelosuppressive. We previously reported that pentostatin and cyclophosphamide (PC) is active and well-tolerated in patients with relapsed or refractory CLL. Subsequently, we added rituximab, and now report on this three-drug combination. We treated 46 patients with either previously treated CLL (32 patients) or other low-grade B-cell neoplasms (14 patients). Patients received pentostatin 4 mg/m2, cyclophosphamide 600 mg/m2, and rituximab 375 mg/m2 (PCR). All drugs were administered on the same day (rituximab omitted from cycle 1), and patients received six cycles at 3-week intervals. Filgrastim, sulfamethoxazole/trimethoprim, and acyclovir were administered prophylactically. The median age was 62 years (range, 30 to 80 years). The median number of prior regimens was two (range, one to seven). For CLL patients, there were 24 responses (75%), including eight complete responses (25%). In fludarabine-refractory patients, 75% responded. Toxicity was acceptable, with grade 3/4 infections (including fever of unknown origin) in 28%. The regimen was well tolerated, with 72% of patients receiving the planned treatment at full dose.","PCR is safe and effective in previously treated patients with CLL. In comparison with our prior two-drug regimen, we find that rituximab did not seem to add significantly to the toxicity, but did appear to confer a survival advantage. Based on these results, we are currently studying PCR as initial therapy for patients with CLL.",yes,16520464
Is macroscopic brain asymmetry changed along the antero-posterior axis in schizophrenia?,"Anatomical asymmetry may be altered in schizophrenia, but the changes are subtle and in some studies undetected perhaps due to methodological limitations. In a postmortem MRI study (23 patients, 20 controls), we used a geometric mesh technique to define the cortical surface and to separate two components of brain asymmetry: hemisphere shift, conceived as the position of an entire hemisphere relative to the other (which may be reversed in situs inversus), and the distribution of tissue within the hemisphere along the antero-posterior axis (""volume torque""). Only volume torque was changed in schizophrenia-in comparison subjects, the coronal section of maximal left hemisphere volume was more anteriorly placed than on the right [and correlated with left superior temporal gyrus (STG) volume], and, in patients, it was more posterior (showing a reversed correlation with left STG volume).","The findings validate a new approach to cerebral asymmetry. Assessments of cerebral asymmetry in psychosis should account for, or exclude, hemisphere shift, which is not changed, and focus on the second component, A-P volume distribution; the findings point to an anomaly of relative hemispheric development that may have pathophysiological significance.",yes,15721996
Are muscle fibers injured at the time of acute and chronic rotator cuff repair?,"Rotator cuff tears are a common source of shoulder pain and disability. Even after surgical repair, some patients continue to have reduced function and progression of fatty degeneration. Because patients with chronic cuff tears often experience muscle shortening, it is possible that repairing the tendon to its anatomic footprint induces a stretch-induced muscle injury that could contribute to failures of the repair and perhaps ongoing pain. We hypothesized that, compared with acutely torn and repaired muscles, the stretch that is required to repair a chronically torn cuff would result in more muscle fiber damage. Specifically, we asked: (1) Is there muscle fiber damage that occurs from repair of an acutely torn rotator cuff and does it vary by location in the muscle; and (2) is the damage greater in the case of repair of a chronic injury? We used an open surgical approach to create a full-thickness rotator cuff tear in rats, and measured changes in muscle mass, length, and the number of fibers containing the membrane impermeable Evans Blue Dye after acute (1 day) or chronic (28 days) cuff tear or repair in rats. Differences between groups were tested using a one-way ANOVA followed by Tukey's post hoc sorting. Chronic tears resulted in 24% to 35% decreases in mass and a 20% decrease in length. The repair of acutely and chronically torn muscles resulted in damage to 90% of fibers in the distal portion of the muscle. In the proximal portion, no differences between the acutely torn and repaired groups and controls were observed, whereas repairing the chronically torn group resulted in injury to almost 70% of fibers.","In a rat model, marked injury to muscle fibers is induced when the tendons of torn rotator cuffs are repaired to their anatomic footprint.",yes,25113269
Does renal dysfunction affect the prognostic value of myocardial iodine-123 meta-iodobenzylguanidine imaging in heart failure?,"Iodine-123 meta-iodobenzylguanidine (I-mIBG) imaging has prognostic value in patients with heart failure (HF). Renal dysfunction is prevalent in HF patients. I-mIBG is excreted by the kidneys, and the effect of renal dysfunction on its myocardial uptake and established prognostic value in HF patients is unknown. The data analysed are from patients with New York Heart Association (NYHA) class II or III HF enrolled in the AdreView Myocardial Imaging for Risk Evaluation in Heart Failure (ADMIRE-HF) study. Myocardial uptake and retention of I-mIBG were assessed by the early and late heart-to-mediastinal (HM) ratio. Effect of renal dysfunction on the prognostic value of I-mIBG was determined by multivariable-predicted survival analysis stratified by glomerular filtration rate (GFR) and late HM ratio. Cox proportional hazard models were used to determine the predictors of cardiac events (CEs, defined as death, HF progression or life-threatening arrhythmia). Complete data were available on 867 patients. The GFR range was 19-140 ml/min, and 344 (40%) patients had renal dysfunction (GFR<60 ml/min). A total of 523 (60%) and 689 (80%) patients had early and late HM ratios below the previously established prognostic cutoff of 1.6. There was no relationship between early or late HM ratios and GFR after controlling for HF severity (NYHA class and norepinephrine levels), indicating a lack of effect of renal dysfunction on the HM ratio. Significant independent predictors of CE were (hazard ratio, P), b-type natriuretic peptide level (1.4, <0.001), left ventricular ejection fraction (0.95, <0.001), BMI (1.04, 0.002), cardiac glycoside use (1.42, 0.019) and late HM ratio (7.04, 0.008). Neither GFR nor its interaction with late HM ratio was a significant predictor of CE.",Renal dysfunction does not affect the HM ratios or the prognostic value of I-mIBG imaging in HF patients.,no,24177039
Do tumor cells with low proteasome subunit expression predict overall survival in head and neck cancer patients?,"Experimental and clinical data suggest that solid cancers contain treatment-resistant cancer stem cells that will impair treatment efficacy. The objective of this study was to investigate if head and neck squamous cell carcinoma (HNSCC) also contain cancer stem cells that can be identified by low 26S proteasome activity and if their presence correlates to clinical outcome. Human HNSCC cells, engineered to report lack of proteasome activity based on accumulation of a fluorescent fusion protein, were separated based on high (ZsGreen-cODCneg) or low (ZsGreen-cODCpos) proteasome activity. Self-renewal capacity, tumorigenicity and radioresistance were assessed. Proteasome subunit expression was analyzed in tissue microarrays and correlated to survival and locoregional cancer control of 174 patients with HNSCC. HNSCC cells with low proteasome activity showed a significantly higher self-renewal capacity and increased tumorigenicity. Irradiation enriched for ZsGreen-cODCpos cells. The survival probability of 82 patients treated with definitive radio- or chemo-radiotherapy exhibiting weak, intermediate, or strong proteasome subunit expression were 21.2, 28.8 and 43.8 months (p = 0.05), respectively. Locoregional cancer control was comparably affected.",Subpopulations of HNSCC display stem cell features that affect patients' tumor control and survival. Evaluating cancer tissue for expression of the proteasome subunit PSMD1 may help identify patients at risk for relapse.,yes,24593279
Do air-conducted oVEMPs provide the best separation between intact and superior canal dehiscent labyrinths?,"First, to define the best single-step suprathreshold screening test for superior canal dehiscence syndrome (SCDS); second, to obtain further insight into the relative sensitivity of vestibular afferents to sound vibration in the presence of a superior canal dehiscence. Prospective study. Tertiary referral center. Eleven patients with surgically confirmed SCDS (mean, 50 yr; range, 32-66 yr) and 11 age-matched, healthy subjects (right ear only) with no hearing or vestibular deficits (mean, 50 yr; range, 33-66 yr). All subjects completed ocular and cervical vestibular evoked myogenic potential (o- and cVEMP) testing in response to air conduction (click and 500 Hz tone burst) and midline bone conduction (reflex hammer and Mini-shaker) stimulation. OVEMP n10 amplitude and cVEMP corrected peak-to-peak amplitude. OVEMP n10 amplitudes were significantly higher in SCDS when compared with healthy controls in response to all stimuli with the exception of reflex hammer. Likewise, cVEMP-corrected peak-to-peak amplitudes were significantly higher in SCDS when compared with healthy controls for air conduction stimulation (click and 500 Hz toneburst). However, there were no significant differences between groups for midline taps (reflex hammer or mini-shaker). Receiver operating characteristic curves demonstrated that oVEMPs in response to air conduction stimulation provided the best separation between SCDS and healthy controls.",OVEMPs in response to air conduction stimulation (click and 500 Hz toneburst) provide the best separation between SCDS and healthy controls and are therefore the best single-step screening test for SCDS.,yes,23151775
Does pseudoceramide-containing physiological lipid mixture reduce adverse effects of topical steroids?,"Various therapeutic approaches have been suggested for preventing or reducing the adverse effects of topical glucocorticoids, including skin barrier impairment. Previously, we have shown that impairment of skin barrier function by the highest potency topical glucocorticoid, clobetasol 17-propinate (CP), can be partially prevented by co-application of a physiological lipid mixture containing pseudoceramide, free fatty acids, and cholesterol (multi-lamellar emulsion [MLE]). Skin atrophic effects of CP were also partially reduced by MLE. In this study, the preventive effects of MLE on the lowest potency topical glucocorticoid, hydrocortisone (HC), were investigated using animal models. Anti-inflammatory activity of topical HC was evaluated using a 12-O-tetradecanoylphobol-13-acetate-induced skin edema model. Topical steroid induced adverse effects were evaluated using hairless mouse. The results showed that the anti-inflammatory activity was not altered by co-application of either MLE or hydrobase. However, co-application of MLE and 1.0% HC showed less impairment in the epidermal permeability barrier function, skin hydration, and skin surface pH compared with hydrobase. Stratum corneum integrity, evaluated by measuring trans-epidermal water loss after repeated tape stripping, showed less damage with MLE co-application. Long-term application of topical HC induced skin atrophy, measured by a reduction in skinfold and epidermal thickness and in the number of epidermal proliferating cell nucleus antigen (PCNA)-positive keratinocytes. Co-application of MLE did not affect the skinfold or epidermal thickness, but the number of PCNA-positive keratinocytes was less decreased with MLE use.",These results suggest that co-application of MLE is effective in reducing the local adverse effects of low-potency topical glucocorticoids and supports the therapeutic efficacy of physiological lipid mixtures on skin barrier function.,yes,21461248
Does chronic congestive heart failure elicit adaptations of endurance exercise in diaphragmatic muscle?,"During rest and exercise, patients with heart failure hyperventilate; therefore, the diaphragm can be viewed as undergoing constant moderate-intensity exercise. Accordingly, we hypothesized that heart failure elicits adaptations in the diaphragm similar to those elicited by endurance exercise in the limb muscles of normal subjects. Costal diaphragmatic biopsy samples were obtained from 7 normal subjects (age, 36 +/- 20 years) and 10 patients (age, 50 +/- 6 years; left ventricular ejection fraction, 18 +/- 8%) at the time of transplant or left ventricular assist-device placement. We measured the distribution of myosin heavy chain isoforms I, IIa, and IIb by SDS gel electrophoresis. We also measured the activities of the following enzymes: citrate synthase, a marker of oxidative metabolism; beta-hydroxyacyl-CoA dehydrogenase, a marker of lipolytic metabolism; and lactate dehydrogenase, a marker of glycolytic metabolism. In normal subjects, the distribution of myosin heavy chain isoforms I, IIa, and IIb was 43 +/- 2%, 40 +/- 2%, and 17 +/- 1%, respectively. In contrast, in heart failure subjects, the fiber distribution was 55 +/- 2%, 38 +/- 2%, and 7 +/- 2% for types I, IIa, and IIb, respectively. Therefore, in heart failure, myosin heavy chain I is increased (P < .0001) and myosin heavy chain IIb decreased from normal levels (P < .001). Additionally, citrate synthase activity (normal, 0.33 +/- 0.14; heart failure, 0.54 +/- 0.21 mumol.min-1.mg protein-1; P < .05) and beta-hydroxyacyl-CoA dehydrogenase activity (normal, 0.27 +/- 0.04; heart failure, 0.38 +/- 0.02 mumol.min-1.mg protein-1; P < .05) were greater in heart failure patients than in normal subjects, whereas lactate dehydrogenase activity was significantly less in heart failure patients than in normal subjects (normal, 11.6 +/- 4.6; heart failure,: 4.3 +/- 2.2 mumol.min-1.mg protein-1; P < .01).","In the diaphragm in heart failure, there is a shift from fast to slow myosin heavy chain isoforms with an increase in oxidative capacity and a decrease in glycolytic capacity. These diaphragmatic muscle changes are consistent with those elicited by endurance training of the limb muscles in normal subjects.",yes,9054750
Does calpain protease cause hypoxia-induced proteolysis in cultured human retina?,Calpain proteases are known to be involved in retinal cell death in animal models. The purpose of the present study was to test for calpain activation in human retinas cultured under hypoxic conditions. Calpain activation was detected by immunoblotting for calpain substrates in human and monkey retinas cultured in gas generating pouches to reduce oxygen. Hypoxia caused activation of calpains as measured by accumulation of the calpain-specific 145 kDa α-spectrin breakdown product. Opsin-1 (photoreceptor marker) and vimentin (Müller cell marker) were degraded. Calpain inhibitor SNJ-1945 ameliorated these changes. Results were similar to comparative data from cultured monkey retinas.,"In cultured human retina, hypoxia caused activation of calpain and subsequent proteolysis of critical substrates. The efficacy of SNJ-1945 in ameliorating these changes indicated that it might be useful to test as a drug for protecting against pathologic proteolysis of photoreceptor and Müller cells.",yes,24215535
Does comparative morphology of normal and cleft minipigs demonstrate dual origin of incisors?,"The incisors of the mammalian dental arch develop from tissues arising from separated facial prominences. These primordial craniofacial structures undergo complex morphogenetic processes as they merge and fuse in a time and space dependent fashion. However, local contributions of precursor facial prominences to the incisors that develop subsequently remain unknown. The purpose of this study was to characterize the development of all three deciduous upper rostral teeth in the pig (Sus scrofa f. domestica) for the identification of the likely facial prominence contributions to the incisors based on normal and pathological developmental relationships. Embryonic minipigs were collected between gestational days 20-36 (E20-36), processed for histological analysis and subjected to computerized 3D modelling. The location and morphology of the incisors (i) in these specimens were characterized and compared between developmental stages. A second set of neonatal minipigs displaying cleft lip and/or cleft palate defects were also obtained and incisor locations and eruption patterns were morphologically examined. Palate formation begins during the third week of gestation (E20) in the minipig with ossification of the premaxilla initiating soon afterwards (E24). The third incisor (i3) develops caudally to the contact seam formed by the fusion of the primary and secondary palates in normal embryos. All cleft animals displayed normal i3 and canine, on other hand, development of i1 and i2 was often disrupted similar to human.",Our observations suggest a dual embryonic origin of the incisors in minipigs with the first and second incisors originating from the frontonasal prominence whilst the third incisor forms from tissues derived from the maxillary prominence.,yes,21752351
Does [ The application of naphcon eye drop during Lasik surgery ]?,To evaluate the effects of Naphcon eye drops for preventing conjunctival bleeding during Lasik surgery. One hundred cases (200 eyes) were divided into treating group and control group randomly according to using and not using Naphcon eye drops before Lasik surgery. Treating group patients received three times Naphcon eye drops during 15 minutes before surgery. The incidence of conjunctival bleeding from treating and control group were 8% and 15% respectively. There was significant statistical difference between them.,Naphcon eye drop is an effective agent to prevent conjunctival bleeding.,yes,15656360
Do an update on celiac disease histopathology and the road ahead?,"Celiac disease (CD) is a common immune-mediated disorder that occurs in genetically predisposed individuals (carriers of HLA-DQ2 and DQ8 haplotypes) on consumption of wheat (gluten). It is characterized by inflammation of the small-intestinal mucosa and myriad gastrointestinal and systemic manifestations. Celiac disease is common in the general population (prevalence, 0.5%-1%). Currently, small-bowel biopsy is considered the gold standard for diagnosing CD. However, the role of serologic testing in the diagnosis of CD has evolved, from being a supportive test to supplanting intestinal biopsies in certain patient populations. To summarize key aspects of histopathologic assessment, discuss the benefit of standardized pathology reports, impact of the site and number of small-bowel biopsy samples on diagnosis, and recommendations regarding serologic testing. Literature review of publications on CD and experience with histopathologic review of biopsies at the Department of Pathology and Cell Biology, Columbia University Medical Center, New York-Presbyterian Hospital, New York.","Intraepithelial lymphocytosis in the context of villous atrophy is considered a characteristic histologic finding of CD; however, it is a rather nonspecific finding. A growing list of publications has also indicated that the detection of intraepithelial lymphocytosis in the absence of villous atrophy has rather low specificity for CD. Therefore, communication between pathologists and gastroenterologists is paramount, as is knowledge regarding the pertinent clinical and laboratory data, in distinguishing between CD and other disorders with similar histopathologic and clinical manifestations.",yes,22742547
Are mitotic checkpoints and chromosome instability strong predictors of clinical outcome in gastrointestinal stromal tumors?,"The importance of KIT and PDGFRA mutations in the oncogenesis of gastrointestinal stromal tumors (GIST) is well established, but the genetic basis of GIST metastasis is poorly understood. We recently published a 67 gene expression prognostic signature related to genome complexity (CINSARC for Complexity INdex in SARComas) and asked whether it could predict outcome in GISTs. We carried out genome and expression profiling on 67 primary untreated GISTs. We show and validate here that it can predict metastasis in a new data set of 67 primary untreated GISTs. The gene whose expression was most strongly associated with metastasis was AURKA, but the AURKA locus was not amplified. Instead, we identified deletion of the p16 (CDKN2A) and retinoblastoma (RB1) genes as likely causal events leading to increased AURKA and CINSARC gene expression, to chromosome rearrangement, and ultimately to metastasis. On the basis of these findings, we established a Genomic Index that integrates the number and type of DNA copy number alterations. This index is a strong prognostic factor in GISTs. We show that CINSARC class, AURKA expression, and Genomic Index all outperform the Armed Forces Institute of Pathology (AFIP) grading system in determining the prognosis of patients with GISTs. Interestingly, these signatures can identify poor prognosis patients in the group classified as intermediate-risk by the AFIP classification.","We propose that a high Genomic Index determined by comparative genomic hybridization from formalin-fixed, paraffin-embedded samples could be used to identify AFIP intermediate-risk patients who would benefit from imatinib therapy.",yes,22167411
Does knockdown of PLC-gamma-2 and calmodulin 1 genes sensitize human cervical adenocarcinoma cells to doxorubicin and paclitaxel?,"RNA interference (RNAi) is a powerful approach in functional genomics to selectively silence messenger mRNA (mRNA) expression and can be employed to rapidly develop potential novel drugs against a complex disease like cancer. However, naked siRNA being anionic is unable to cross the anionic cell membrane through passive diffusion and therefore, delivery of siRNA remains a major hurdle to overcome before the potential of siRNA technology can fully be exploited in cancer. pH-sensitive carbonate apatite has recently been developed as an efficient tool to deliver siRNA into the mammalian cells by virtue of its high affinity interaction with the siRNA and the desirable size distribution of the resulting siRNA-apatite complex for effective cellular endocytosis. Moreover, internalized siRNA was found to escape from the endosomes in a time-dependent manner and efficiently silence gene expression. Here we show that carbonate apatite-mediated delivery of siRNA against PLC-gamma-2 (PLCG2) and calmodulin 1 (CALM1) genes has led to the sensitization of a human cervical cancer cell line to doxorubicin- and paclitaxel depending on the dosage of the individual drug whereas no such enhancement in cell death was observed with cisplatin irrespective of the dosage following intracellular delivery of the siRNAs.","Thus, PLCG2 and CALM1 genes are two potential targets for gene knockdown in doxorubicin and paclitaxel-based chemotherapy of cervical cancer.",yes,22709569
Is a positive 2-item Patient Health Questionnaire depression screen among hospitalized heart failure patients associated with elevated 12-month mortality?,"Given the association of depression with poorer cardiac outcomes, an American Heart Association Science Advisory has advocated routine screening of cardiac patients for depression using the 2-item Patient Health Questionnaire (PHQ-2) ""at a minimum."" However, the prognostic value of the PHQ-2 among HF patients is unknown. We screened hospitalized HF patients (ejection fraction [EF] <40%) that staff suspected may be depressed with the PHQ-2, and then determined vital status at up to 12-months follow-up. At baseline, PHQ-2 depression screen-positive patients (PHQ-2+; n = 371), compared with PHQ-2 screen-negative patients (PHQ-2-; n = 100), were younger (65 vs 70 years) and more likely to report New York Heart Association (NYHA) functional class III/IV than class II symptoms (67% vs. 39%) and lower levels of physical and mental health-related quality of life (all P ≤ .002); they were similar in other characteristics (65% male, 26% mean EF). At 12 months, 20% of PHQ-2+ versus 8% of PHQ-2- patients had died (P = .007) and PHQ-2 status remained associated with both all-cause (hazard ratio [HR] 3.1, 95% confidence interval [CI] 1.4-6.7; P = .003) and cardiovascular (HR 2.7, 95% CI 1.1-6.6; P = .03) mortality even after adjustment for age, gender, EF, NYHA functional class, and a variety of other covariates.","Among hospitalized HF patients, a positive PHQ-2 depression screen is associated with an elevated 12-month mortality risk.",yes,22385945
Does hB-EGF promote angiogenesis in endothelial cells via PI3-kinase and MAPK signaling pathways?,"Heparin-binding EGF-like growth factor (HB-EGF) belongs to the epidermal growth factor (EGF) superfamily of ligands. It has been implicated as a regulator of angiogenesis. However, the mechanisms by which HB-EGF promotes angiogenesis are unknown. The goal of the present study was to define the pathways by which HB-EGF stimulates angiogenesis in endothelial cells. To characterize the angiogenic activity of HB-EGF, we treated human umbilical vein endothelial cells (HUVEC) with HB-EGF and analyzed the effects on cell proliferation, migration and tube formation. Side-by-side assays with EGF were used for comparison. Both HB-EGF and EGF stimulated HUVEC migration in scratch assays and promoted vascular tube formation in 2D-angiogenesis assays, without inducing cell proliferation. HB-EGF- and EGF-induced HUVEC migration and capillary tube formation were dependent upon activation of PI3K, MAPK and eNOS. Importantly, HB-EGF-and EGF-induced tube formation was comparable to, but were independent of tube formation induced by VEGF.","We have demonstrated that HB-EGF and EGF induce angiogenesis via activation of PI3K, MAPK and eNOS in a VEGF-independent fashion. Thus, the role played by HB-EGF in stimulating physiologic processes such as wound healing in vivo may be dependent, in part, on its ability to promote angiogenesis.",yes,18092233
Does polarization of the vacuolar adenosine triphosphatase delineate a transition to high-grade pancreatic intraepithelial neoplasm lesions?,"A functional vacuolar adenosine triphosphatase (v-ATPase) complex regulates canonical Wnt/β-catenin signaling. The goal of this study was to identify the distribution of the v-ATPase in human and murine models of pancreatic intraepithelial neoplasms (PanINs) and assess its role in Wnt/β-catenin signaling. We evaluated the immunolabeling pattern of the v-ATPase in human PanIN specimens and murine PanIN-1 and PanIN-2 lesions obtained from Ptf1a(Cre/+); LSL-Kras(G12D) mice. Wnt/β-catenin signaling was interrogated in primary PanIN cells by examining the phosphorylated levels of its surface coreceptor, low-density lipoprotein receptor-related protein-6 (LRP6), and its intracellular effector, nonphosphorylated β-catenin. The response of primary PanIN cells to epidermal growth factor (EGF) was assessed in the absence and presence of the v-ATPase inhibitor, concanamycin. In advanced (PanIN-2), but not early (PanIN-1), lesions, the v-ATPase assumed a polarized phenotype. Blocking the v-ATPase disrupted Wnt/β-catenin signaling in primary PanIN cells despite significantly higher levels of the total and activated Wnt cell surface coreceptor, LRP6. Vacuolar adenosine triphosphatase blockade significantly decreased the total and activated levels of EGF receptor, a determinant of PanIN progression. The activation of EGF receptor and its intracellular mediator, p44/42 mitogen-activated protein kinase, was also reduced by v-ATPase blockade. This led to diminished proliferation in response to EGF ligand.",The v-ATPase regulates Wnt/β-catenin and EGF receptor signaling in PanINs.,yes,25072283
