question,label,doc_id,claim_id,evidence_docs
Adult tissue-resident macrophages stem from the embryonal yolk sac and fetal liver.,NOT_ENOUGH_INFO,7521113,89,
Adult tissue-resident macrophages stem from the embryonal yolk sac and fetal liver.,NOT_ENOUGH_INFO,22406695,90,
Aged patients are less susceptible to ischaemia/reperfusion injury.,NOT_ENOUGH_INFO,1084345,91,
Aged patients are more susceptible to ischaemia/reperfusion injury.,NOT_ENOUGH_INFO,1084345,92,
Aggravated inflammation is dependent on NLRP3 inflammasome activation.,SUPPORT,2692522,93,2692522
Albendazole is used to treat soil-transmitted helminths.,NOT_ENOUGH_INFO,1215116,95,
Algerian physicians constitue the largest component of sub-Saharan Africa-trained physicians in the United States.,NOT_ENOUGH_INFO,14500725,96,
Alirocumab treatment reduces apo(a) fractional clearance rate.,REFUTE,6540064,98,6540064
Allogeneic mechanical circulatory support is not as effective as autologous mechanical circulatory support for treating acute myocardial infarction.,REFUTE,40164383,104,40164383
Alteration of origin firing causes changes in termination zones of Okazaki fragments.,REFUTE,36606083,105,36606083
Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.,REFUTE,25515907,106,25515907|5151024
Amitriptyline is an effective treatment for chronic tension-type headaches.,SUPPORT,6191684,108,6191684|22995579|23865182
An M2-like phenotype in brown adipose tissue macrophages is quickly induced by cold exposure.,SUPPORT,4319174,109,4319174
Androgenetic haploid mouse embryonic stem cells (ESCs) can be derived and genetically manipulated in vitro.,SUPPORT,13513790,111,13513790
Angiotensin converting enzyme inhibitors are associated with decreased risk for functional renal insufficiency.,REFUTE,6157837,112,6157837
Anthrax spores are very difficult to dispose once they are dispersed.,SUPPORT,33872649,114,33872649
Anthrax spores remain deadly until affected areas are decontaminated.,SUPPORT,33872649,116,33872649
Antidepressants increase the severity of migraines.,REFUTE,14606752,119,14606752
Antidepressants reduce the severity of migraines.,SUPPORT,14606752,120,14606752
Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,SUPPORT,31460499,121,31460499
Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,REFUTE,31460499,122,31460499
Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.,REFUTE,4883040,123,4883040
"Approximately 250,000 people are infected with human T-cell lymphotropic virus type 1 in the United Kingdom.",NOT_ENOUGH_INFO,24512064,126,
Assessing treatment adherence is more beneficial to clinical practice than measuring routine outcomes.,NOT_ENOUGH_INFO,4695046,134,
Asymptomatic visual impairment screening in elderly populations leads to improved vision.,REFUTE,26016929,138,26016929
At least 85% of patients exposed to radiation have activated markers of myofibroblasts.,NOT_ENOUGH_INFO,22080671,139,
Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,SUPPORT,10582939,144,10582939
Autophagy deficiency in the liver increases vulnerability to insulin resistance.,REFUTE,6227220,149,6227220
B cells go though plasmablast differentiation and antibody production by continuous expression of EBI2.,SUPPORT,15488881,152,15488881
B3-Galectin decreases cell resistance to tyrosine kinase inhibitors (TKIs) by engaging the alternate KRAS-RalB signaling complex downstream of EGFR.,NOT_ENOUGH_INFO,4702639,153,
B3-Galectin increases cell resistance to tyrosine kinase inhibitors (TKIs) by engaging the alternate KRAS-RalB signaling complex downstream of EGFR.,NOT_ENOUGH_INFO,4702639,154,
BCL-2 activation antagonizes the apoptotic effects of c-Myc.,SUPPORT,37549932,155,37549932
BCL-2 promotes the apoptotic effects of c-Myc.,REFUTE,37549932,156,37549932
BLM gene encodes RecQ-class DNA helicase.,SUPPORT,13439128,157,13439128
BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,SUPPORT,9394119,159,9394119
Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,SUPPORT,52874170,160,52874170
Bacteriophagaes MS2 and Qβ are members of the Leviviridae.,NOT_ENOUGH_INFO,6903077,161,
Bariatric surgery increases rates of colorectal cancer.,SUPPORT,5824985,164,5824985
Bariatric surgery increases rates of postmenopausal breast cancer.,SUPPORT,5824985,165,5824985
Bariatric surgery leads to negative outcomes in mental health.,REFUTE,18872233,166,18872233
Bariatric surgery leads to positive outcomes in mental health.,SUPPORT,18872233,167,18872233
Bariatric surgery reduces colorectal cancer.,REFUTE,5824985,168,5824985
Bariatric surgery reduces postmenopausal breast cancer.,REFUTE,5824985,169,5824985
Basophils promote disease development in patients with systemic lupus erythematosus (SLE).,SUPPORT,12670680,172,12670680
Bcp1 is a chaperone for Rpl23.,NOT_ENOUGH_INFO,8126244,173,
Beta-band coherence is diminished for visible stimuli over invisible stimuli.,NOT_ENOUGH_INFO,1710116,174,
Beta-band coherence is enhanced for visible stimuli over invisible stimuli.,NOT_ENOUGH_INFO,1710116,175,
BiP is a general endoplasmic reticulum stress marker.,NOT_ENOUGH_INFO,32587939,176,
Binding of p53 to enhancer regions (p53BERs) regulates the activity of p53 transcription and cell cycle arrest through the production of p53-dependent eRNAs.,SUPPORT,9669099,177,9669099
Birth-weight is negatively associated with breast cancer.,REFUTE,16322674,178,16322674|27123743|23557241|17450673
Blocking the interaction between TDP-43 and respiratory complex I proteins ND3 and ND6 prevents TDP-43-induced neuronal loss.,SUPPORT,16966326,181,16966326
Bone Marrow (BM) transplantation is used to treat acute myeloid leukemia (AML),NOT_ENOUGH_INFO,11369420,182,
Bone marrow cells don't contribute to adult macrophage compartments.,SUPPORT,12827098,184,12827098
British female students are bullied more than British male students.,NOT_ENOUGH_INFO,16855829,186,
British male students are bullied more than British female students.,NOT_ENOUGH_INFO,16855829,187,
Broadly HIV-1 Neutralizing Antibodies (bnAb) 10EB have no affinity for phospholipids.,SUPPORT,4421578,189,4421578
C2 works synergistically with A-769662 to activate dephosphorylated AMPK.,SUPPORT,19313533,196,19313533
CCL19 is a ligand for CCR7.,SUPPORT,2177022,197,2177022
CCL19 is predominantly present within dLNs.,NOT_ENOUGH_INFO,2177022,199,
"CD28 initiates tonic signaling in conventional T cells, which causes an exhaustion phenotype and limited efficiency.",SUPPORT,18231807,200,18231807
CD28 signals regulate trafficking of murine auto-reactive T cells into target tissues.,SUPPORT,2462673,201,2462673
CD44v6 is not associated with constitutive and reprogrammed cancer stem cells driving cancer metastasis.,REFUTE,9558539,203,9558539
CDK6 shows impaired binding to loss-of-function variants of p18 INK4C.,NOT_ENOUGH_INFO,7898952,204,
CDK6 shows improved binding to loss-of-function variants of p18 INK4C.,NOT_ENOUGH_INFO,7898952,205,
CHOP is a general endoplasmic reticulum stress marker.,NOT_ENOUGH_INFO,32587939,209,
COPI coatmer is involved in lipid homeostasis.,SUPPORT,13794374,210,13794374
COPI coatmer is involved in viral replication.,NOT_ENOUGH_INFO,13794374,211,
CRP is positively correlated with postoperative mortality following Coronary Artery Bypass Graft (CABG) surgery.,NOT_ENOUGH_INFO,13625993,214,
Ca2+ cycling controls whole-body energy homeostasis in beige fat.,SUPPORT,19205437,220,19205437
Ca2+ cycling is a UCP1-dependent thermogenic mechanism.,REFUTE,19205437,221,19205437
Ca2+ cycling is a UCP1-independent thermogenic mechanism.,SUPPORT,19205437,222,19205437
Cancer cells can stimulate the accumulation of intra-tumoural myeloid-derived suppressor cells by promoting granulocyte colony stimulating factor production.,SUPPORT,2014909,223,2014909
Cancer-associated fibroblasts (CAFs) are constituents of tumor microenvironments,NOT_ENOUGH_INFO,6944800,224,
Cancer-associated fibroblasts (CAFs) have no known interaction with cancer cells in the formation and activation of CAFs.,NOT_ENOUGH_INFO,6944800,225,
Cancer-associated fibroblasts (CAFs) interact with cancer cells to mediate formation and activation of CAFs.,NOT_ENOUGH_INFO,6944800,226,
Cancers that initially benefit from epidermal growth factor receptor targeted therapies later become refractory through several mechanisms.,SUPPORT,26973393,227,26973393
Cardiac tissue-resident macrophages directly contribute to electrical activity.,SUPPORT,4928057,228,4928057
Carriers of HNF4A mutations are at reduced risk for diabetes.,NOT_ENOUGH_INFO,56893404,229,
Cell autonomous sex determination in somatic cells occurs in Galliformes.,SUPPORT,4388470,235,4388470
Cellular clocks are associated with mitosis timing in NIH 3T3 cells.,SUPPORT,2212067,241,2212067
Cellular clocks are not predictive of mitosis timing in NIH 3T3 cells.,REFUTE,2212067,242,2212067
"Cellular differentiation of embryonic stem cells is accompanied by changes in replication timing, transcription and nuclear localization.",SUPPORT,8148122,243,8148122
Certain immunomodulator-human dialyzable leukocyte extract (hDLE) peptides are recognized by toll-like receptors (TLRs) on macrophages and dendritic cells.,NOT_ENOUGH_INFO,21498497,244,
Charcoal is an effective treatment for acute paraquat poisoning.,REFUTE,8447873,245,3430789
Charcoal shows no benefit for acute paraquat poisoning.,SUPPORT,8447873,246,3430789
Chemical injury represses transglutaminase 2 activity.,NOT_ENOUGH_INFO,13578199,247,
Chenodeoxycholic acid treatment decreases brown adipose tissue activity.,REFUTE,1568684,250,1568684
Chenodeoxycholic acid treatment increases brown adipose tissue activity.,SUPPORT,1568684,251,1568684
Chinese individuals with TT homozygosity in the MTHFR gene are less vulnerable to strokes caused by low levels of folate intake.,NOT_ENOUGH_INFO,37424881,253,
Chinese individuals with TT homozygosity in the MTHFR gene are more vulnerable to strokes caused by low levels of folate intake.,NOT_ENOUGH_INFO,37424881,254,
Chlamydia trachomatis is most prevalent in the UK among individuals in their 50s and 60s.,NOT_ENOUGH_INFO,5850219,255,
Chlamydia trachomatis is most prevalent in the UK among sexually-experienced individuals aged 16 to 24.,SUPPORT,5850219,256,5850219
"Cholesterol loading induces KLF4 expression in VSMCs, resulting in the expression of pro-inflammatory cytokines.",SUPPORT,22080671,258,22080671
Chronic HIV stimulation of B cells leads to the premature exhaustion of B cells.,NOT_ENOUGH_INFO,8883846,259,
Cis-acting lncRNAs control the expression of genes that are positioned in the vicinity of their transcription sites.,NOT_ENOUGH_INFO,14610165,262,
Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle.,REFUTE,11328820,263,11328820|30041340
Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to perpetuate the inflammatory cycle via induction of autoantibodies.,SUPPORT,11328820,264,11328820
Clathrin stabilizes the spindle fiber apparatus during mitosis.,SUPPORT,2033917,265,2033917
Cnn1 recruitment varies with cell cycle timing.,SUPPORT,22405338,266,22405338
Cognitive behavioral therapy is an ineffective treatment for insomnia,REFUTE,5912283,267,5912283
Combination nicotine replacement therapies with varenicline or bupropion are more effective after 12 weeks of reatment compared to varenicline monotherapy.,SUPPORT,11614737,272,11614737
"Commelina yellow mottle virus (ComYMV) has three typical badnavirus ORFs, capable of encoding proteins 23, 15, and 216 kD.",SUPPORT,14376683,277,14376683
Commelina yellow mottle virus' (ComYMV) genome consists of 2140 baise pairs.,REFUTE,14376683,278,14376683
Comparative transcriptome analysis identified new platelet proteins with structural features suggesting a role in platelet function.,SUPPORT,25001628,280,25001628
Concentrations of SNV and CNV in stem-cell regulatory elements and binding sites of transcription factors in iPSC-lines are distinct from their founding cells.,NOT_ENOUGH_INFO,4632921,281,
Consumption of whole fruits increases the risk of type 2 diabetes.,REFUTE,1974176,283,1974176
Continued HHV-8 transmission among MSM in San Francisco may be explained by urogenital contact.,NOT_ENOUGH_INFO,5548081,285,
Converting apoE4 to apoE3 by gene editing prevents the pathology associated with apoE4 in human iPSCderived neurons.,SUPPORT,4709641,286,4709641
Converting apoE4 to apoE3 by gene editing worsens the pathology associated with apoE4 in human iPSCderived neurons.,REFUTE,4709641,287,4709641
Cost effectiveness evaluations based on cRCT data accurately reflect prices for patients in actual clinical practice.,REFUTE,15048300,290,15048300
Cost effectiveness evaluations based on cRCT data lack external validity.,SUPPORT,15048300,292,15048300
Crossover hot spots are found within gene promoters in Saccharomyces cerevisiae.,NOT_ENOUGH_INFO,10874408,293,
Cyclin A2 destruction is necessary to switch from unstable to stable kt-mt attachments in mitosis.,SUPPORT,4398832,296,4398832
Cytochrome c is transferred from cytosol to the mitochondrial intermembrane space during apoptosis.,REFUTE,39381118,299,39381118
Cytosolic proteins bind to iron-responsive elements on mRNAs coding for TFRC1.,NOT_ENOUGH_INFO,3553087,301,
DMS3 protein enables Pol V transcription in vivo.,NOT_ENOUGH_INFO,14797520,304,
DRD1 proteins enable Pol V transcription in vivo.,SUPPORT,14797520,305,14797520
DUSP4 decreases apoptosis.,REFUTE,7821634,306,7821634
DUSP4 downregulation deactivates the Ras-ERK pathway,REFUTE,7821634,308,7821634
DUSP4 increases apoptosis.,SUPPORT,7821634,309,7821634
De novo assembly of sequence data has fewer specific contigs than unassembled sequence data.,NOT_ENOUGH_INFO,6173523,310,
De novo assembly of sequence data has shorter contigs than unassembled sequence data.,NOT_ENOUGH_INFO,6173523,313,
Decrease of p62 in prostate tumor stroma results in defective autophagy.,NOT_ENOUGH_INFO,3701541,315,
Decreased conversion of PGE 2 to PPARy ligand 15-ket-PGE 2 causes accumulation of PGE.,NOT_ENOUGH_INFO,712078,316,
Decreased diastolic blood pressure (DBP) is associated with abdominal aortic aneurysm.,REFUTE,4506414,317,4506414
Deleting Raptor increases G-CSF levels.,NOT_ENOUGH_INFO,2014909,323,
Deletion of ATM and Rad3 related protein is not predictive of acute tissue loss.,NOT_ENOUGH_INFO,40349336,325,
Deletion of ATM and Rad3 related protein leads to acute tissue loss.,NOT_ENOUGH_INFO,40349336,326,
Deltex has no known interactions with eIF3f.,REFUTE,9505448,330,9505448
Deltex interacts with eIF3. There is no known interaction between Deltex and elF3,REFUTE,9505448,331,9505448
Depletion of T-helper 17 (Th17) cells during simian immunodeficiency virus (SIV) infection decreases dissemination of Salmonella Typhimurium from the gut.,REFUTE,29023309,332,29023309
Depletion of T-helper 17 (Th17) cells during simian immunodeficiency virus (SIV) infection increases dissemination of Salmonella Typhimurium from the gut.,SUPPORT,29023309,333,29023309
Depletion of nitric oxide is responsible for vasospasm.,SUPPORT,25079962,334,25079962
Deregulation of HAND2 is a crucial step in endometrial carcinogenesis in mice.,SUPPORT,1780819,335,1780819
Destination container port throughput(CPT) is negatively related to dengue virus (DENV-1) diffusion in air traffic shipments.,NOT_ENOUGH_INFO,2097256,336,
Destination container port throughput(CPT) is positively related to dengue virus (DENV-1) diffusion in air traffic shipments.,NOT_ENOUGH_INFO,2097256,337,
Dexamethasone increases risk of postoperative bleeding.,SUPPORT,23349986,339,23349986
Diabetes remission occurs less in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,SUPPORT,7098463,340,7098463
Diabetes remission occurs more in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,REFUTE,7098463,341,7098463
Diabetic patients with acute coronary syndrome experience decreased short-term and long-term risk for bleeding events.,REFUTE,7873737,342,5884524
"Differentiated E2f-1, -2, -3 TKO cells in the intestine do not exhibit apoptosis.",NOT_ENOUGH_INFO,4394817,345,
Differentiation of progenitor cells to myeloid cells is skewed upon activation of insulin signaling.,REFUTE,11902109,346,11902109
Differentiation of progenitor cells to myeloid cells is skewed when insulin signaling is suppressed.,SUPPORT,11902109,347,11902109
Diminished ovarian reserve is a reliable indicator of infertility in a non-infertile population.,REFUTE,13497630,349,13497630
Distant CREs are important for transcriptional regulation.,NOT_ENOUGH_INFO,14658685,351,
Distant CREs are less conserved among species.,NOT_ENOUGH_INFO,14658685,352,
Drosophila supracellular actomyosin structures are found at boundaries in wing imaginal discs.,SUPPORT,12800122,355,12800122|38380061
Dscam1 acts as a hypervariable pattern-recognition receptor for the immune system.,SUPPORT,6144337,356,6144337
"During non-homologous end joining, the ligation step is not as tolerant of disrepairs and other distortions when joining 3' of strand breaks as compared to 5' strand breaks.",NOT_ENOUGH_INFO,18111172,357,
"During non-homologous end joining, the ligation step is not as tolerant of disrepairs and other distortions when joining 5' of strand breaks as compared to 3' strand breaks.",NOT_ENOUGH_INFO,18111172,358,
During the primary early antibody response activated B cells migrate toward the inner-and outer follicular areas where oxysterol accumulation is generated by stromal cells.,NOT_ENOUGH_INFO,38587347,361,
EG7 tumors can be killed by systemic oxaliplatin primed CD8+ T cells from the tumor-draining lymph node cells.,NOT_ENOUGH_INFO,5386514,363,
EGR2 is important to myelination of the peripheral nervous system.,NOT_ENOUGH_INFO,1550937,364,
ER-localized phosphatase Sac1 processes PI4P through coordination with OSBP and the endosome-localized protein sorting nexin 2.,NOT_ENOUGH_INFO,600437,365,
ERAP1 SNPs are epistatic to HLA alleles for ankylosing spondylitis.,SUPPORT,13956305,366,13956305
Early patent ductus ateriosus (PDA) screening decreases in-hospital mortality.,SUPPORT,27099731,367,27099731
Early patent ductus ateriosus (PDA) screening increases in-hospital mortality.,REFUTE,27099731,368,27099731
"Ectopic expression of Sall4, Nanog, Esrrb, and Lin28 generates induced pluripotent stem cells from mouse embryonic fibroblasts more efficiently than other factor combinations.",SUPPORT,6826100,369,6826100
Egr2 regulates the homeostasis of B and T cells.,SUPPORT,1550937,370,1550937
Egr3 regulates the homeostasis of B and T cells.,SUPPORT,1550937,371,1550937
Eilat virus (EILV) produced in mosquitos elicits rapid and long-lasting neutralizing antibodies in nonhuman primates.,SUPPORT,24922825,372,24922825
Elevated cell-free mitochondrial DNA levels are associated with mortality.,SUPPORT,1522647,375,1522647
Eliminating the last sporadic cases of malaria requires considerable funding.,NOT_ENOUGH_INFO,22401061,376,
Emodin forms hydrogen bonds with residues involved in PGAM1 substrate binding.,NOT_ENOUGH_INFO,18810195,377,
Energy balance requires hypothalamic glutamate neurotransmission.,SUPPORT,45154987,378,45154987|10534299|11886686|17150648
Enhanced early production of inflammatory chemokines damages viral control in the lung.,REFUTE,19005293,379,19005293
Environmental factors can influence the development of breast cancer.,SUPPORT,18340282,381,18340282
Environmentally-induced senescence is mimicked in disease modeling by adding specific molecules to the culture system.,SUPPORT,11659421,382,11659421
Epidemiological disease burden from noncommunicable diseases is more prevalent in high economic settings.,NOT_ENOUGH_INFO,13770184,383,
Ethanol stress increases the expression of IBP in bacteria.,NOT_ENOUGH_INFO,1148122,389,
Ethanol stress increases the expression of PSP in bacteria.,NOT_ENOUGH_INFO,1148122,390,
Ethanol stress increases the expression of SRL in bacteria.,NOT_ENOUGH_INFO,1148122,391,
Ethanol stress lowers the expression of PSP in bacteria.,NOT_ENOUGH_INFO,1148122,392,
Ethanol stress reduces the expression of SRL in bacteria.,NOT_ENOUGH_INFO,1148122,393,
Excess gestational weight gain is associated with obesity-related pregnancy outcomes.,SUPPORT,11360768,394,11360768
Exercise increases cancer mortality rates among Chinese citizens.,REFUTE,1456068,396,1456068
Exercise reduces cancer mortality rates among Chinese citizens.,SUPPORT,1456068,397,1456068
Exhaustion of B cells contributes to poor Ab response in HIV-infected individuals.,NOT_ENOUGH_INFO,8883846,398,
Exposure to fine particulate air pollution is unrelated to anxiety prevalence.,REFUTE,791050,400,791050
"Expression of MSX2 is induced 3 hours after the addition of BMP4, which is earlier than T and CDX2.",NOT_ENOUGH_INFO,5633876,401,
Expression of oncolytic virus antigens as peptides makes relapse more likely.,NOT_ENOUGH_INFO,1921218,403,
Expression of oncolytic virus antigens as peptides permits additional protection against relapse.,NOT_ENOUGH_INFO,1921218,404,
F4/80+ macrophages regulate mature osteoblast maintenance.,NOT_ENOUGH_INFO,6796297,406,
FACT and other histone chaperone(s) compensate for Histone 2A (H2A)-histone 2B (H2B) dimer eviction during the histone exchange process.,NOT_ENOUGH_INFO,9889151,407,
Female carriers of the Apolipoprotein E4 (APOE4) allele have decreased risk for dementia.,REFUTE,6309659,413,6309659
Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for Alzheimer's disease.,SUPPORT,6309659,414,6309659
Female carriers of the Apolipoprotein E4 (APOE4) allele have longer lifetime exposure to estrogen due to an increased reproductive period.,SUPPORT,6309659,416,6309659
Female carriers of the Apolipoprotein E4 (APOE4) allele have shorter lifetime exposure to estrogen due to a decreased reproductive period.,REFUTE,6309659,417,6309659
Fibroblast Growth Factor is a ligand which signals through receptor tyrosine kinases.,NOT_ENOUGH_INFO,16660256,418,
Fibroblast growth factor 21 protects against atherosclerosis by modulating adiponectin and SREBP2 levels.,SUPPORT,9315213,420,9315213
Flexible molecules experience less steric hindrance in the tumor microenviroment than rigid molecules.,NOT_ENOUGH_INFO,11172205,422,
Folate and vitamin B12 levels influence the association between homocysteine and preeclampsia.,NOT_ENOUGH_INFO,8595678,423,
"For every 1,000 children with cerebral palsy, more than 300 of them are premature or underweight at birth.",NOT_ENOUGH_INFO,33257464,425,
Forkhead 0 (fox0) transcription factors are involved in apoptosis.,SUPPORT,16728949,426,16728949
Forkhead 0 (fox0) transcription factors are involved in cellular differentiation.,SUPPORT,16728949,428,16728949
Formation of N-terminal pyroglutamate by glutamine cyclase (GC) competes with NTAQ1 for Nt-Gln substrates.,NOT_ENOUGH_INFO,36540079,429,
FoxO3a activation in neuronal death is inhibited by reactive oxygen species (ROS).,REFUTE,28937856,430,28937856
Foxk2 regulates autophagy genes in muscle cells and fibroblast cells.,SUPPORT,8002887,432,8002887
Foxp3 enables the expression of transcriptional regulators implicated in memory T cell development.,NOT_ENOUGH_INFO,9500590,434,
Foxp3 represses the expression of transcriptional regulators implicated in memory T cell development.,NOT_ENOUGH_INFO,9500590,435,
G-CSF increases the expansion and infiltration of MDSCs into tumors.,SUPPORT,2014909,441,2014909
GATA3 regulates cell cycle progression in bone marrow hematopoietic stem cells.,SUPPORT,10165258,444,10165258
GATA3 regulates self-renewal capacity in bone marrow hematopoietic stem cells.,SUPPORT,10165258,445,10165258
Gastric infection with Helicobacter pylori decreases risk of gastric cancer in humans.,REFUTE,2052720,447,2052720
Gastric infection with Helicobacter pylori increases risk of gastric cancer in humans.,SUPPORT,2052720,448,2052720
